sep=,
"time","block_delay"
2024-09-10 18:12:56,1
2024-09-10 19:13:25,1
2024-09-10 20:11:14,1
2024-09-10 21:13:23,1
2024-09-10 22:13:38,1
2024-09-10 23:11:17,1
2024-09-11 00:10:59,1
2024-09-11 01:13:12,1
2024-09-11 02:10:14,1
2024-09-11 03:11:04,1
2024-09-11 04:12:26,1
2024-09-11 05:09:24,1
2024-09-11 06:12:34,1
2024-09-11 07:13:48,1
2024-09-11 08:09:32,1
2024-09-11 09:09:00,1
2024-09-11 10:14:20,1
2024-09-11 11:12:32,1
2024-09-11 12:09:19,1
2024-09-11 13:11:23,1
2024-09-11 14:13:03,1
2024-09-11 15:11:28,1
2024-09-11 16:12:10,1
2024-09-11 17:12:52,1
2024-09-11 18:14:10,1
2024-09-11 19:11:21,1
2024-09-11 20:11:13,2
2024-09-11 21:10:06,1
2024-09-11 22:14:22,1
2024-09-11 23:11:52,1
2024-09-12 00:09:41,1
2024-09-12 01:10:30,1
2024-09-12 02:13:54,2
2024-09-12 03:13:44,1
2024-09-12 04:09:35,1
2024-09-12 05:13:55,1
2024-09-12 06:09:31,1
2024-09-12 07:12:39,1
2024-09-12 08:13:33,1
2024-09-12 09:14:29,1
2024-09-12 10:10:08,1
2024-09-12 11:11:21,1
2024-09-12 12:11:14,1
2024-09-12 13:12:20,1
2024-09-12 14:11:47,1
2024-09-12 15:11:47,2
2024-09-12 16:14:40,1
2024-09-12 17:12:46,1
2024-09-12 18:10:27,1
2024-09-12 19:11:26,1
2024-09-12 20:11:08,1
2024-09-12 21:09:37,1
2024-09-12 22:11:44,2
2024-09-12 23:10:41,1
2024-09-13 00:09:40,1
2024-09-13 01:10:59,1
2024-09-13 02:14:22,2
2024-09-13 03:12:49,1
2024-09-13 04:12:00,1
2024-09-13 05:11:19,1
2024-09-13 06:13:08,1
2024-09-13 07:11:34,1
2024-09-13 08:14:28,1
2024-09-13 09:09:54,1
2024-09-13 10:11:31,1
2024-09-13 11:14:26,1
2024-09-13 12:12:47,1
2024-09-13 13:11:36,1
2024-09-13 14:14:12,1
2024-09-13 15:13:34,1
2024-09-13 16:11:11,1
2024-09-13 17:12:56,1
2024-09-13 18:10:43,1
2024-09-13 19:12:21,1
2024-09-13 20:12:02,1
2024-09-13 21:13:16,1
2024-09-13 22:11:32,1
2024-09-13 23:10:12,1
2024-09-14 00:11:02,1
2024-09-14 01:13:27,1
2024-09-14 02:14:16,1
2024-09-14 03:14:03,1
2024-09-14 04:12:32,1
2024-09-14 05:10:59,1
2024-09-14 06:11:54,1
2024-09-14 07:13:26,1
2024-09-14 08:10:27,1
2024-09-14 09:13:48,1
2024-09-14 10:11:56,1
2024-09-14 11:11:38,1
2024-09-14 12:11:15,1
2024-09-14 13:12:13,1
2024-09-14 14:11:17,1
2024-09-14 15:11:14,1
2024-09-14 16:14:22,1
2024-09-14 17:09:46,1
2024-09-14 18:13:49,1
2024-09-14 19:12:36,1
2024-09-14 20:11:59,1
2024-09-14 21:11:18,1
2024-09-14 22:10:18,1
2024-09-14 23:12:29,1
2024-09-15 00:10:16,1
2024-09-15 01:10:40,1
2024-09-15 02:10:28,1
2024-09-15 03:10:07,1
2024-09-15 04:14:20,1
2024-09-15 05:14:30,1
2024-09-15 06:12:05,1
2024-09-15 07:09:50,1
2024-09-15 08:11:37,2
2024-09-15 09:10:03,1
2024-09-15 10:12:41,1
2024-09-15 11:11:33,1
2024-09-15 12:10:44,1
2024-09-15 13:10:26,1
2024-09-15 14:13:40,1
2024-09-15 15:12:36,1
2024-09-15 16:11:41,1
2024-09-15 17:14:42,1
2024-09-15 18:11:41,1
2024-09-15 19:13:26,1
2024-09-15 20:12:16,1
2024-09-15 21:13:06,1
2024-09-15 22:13:04,1
2024-09-15 23:11:09,1
2024-09-16 00:12:43,1
2024-09-16 01:12:52,1
2024-09-16 02:14:48,1
2024-09-16 03:10:45,1
2024-09-16 04:12:33,1
2024-09-16 05:12:48,1
2024-09-16 06:13:47,1
2024-09-16 07:13:58,1
2024-09-16 08:12:09,1
2024-09-16 09:14:51,1
2024-09-16 09:51:10,1
2024-09-16 09:52:19,1
2024-09-16 09:52:27,1
2024-09-16 10:50:35,1
2024-09-16 11:07:29,1
2024-09-16 11:21:37,1
2024-09-16 11:53:06,1
2024-09-16 12:15:04,1
2024-09-16 12:15:18,1
2024-09-16 12:16:21,1
2024-09-16 12:16:36,2
2024-09-16 13:14:38,1
2024-09-16 13:30:52,1
2024-09-16 13:46:30,1
2024-09-16 13:58:57,1
2024-09-16 14:14:15,1
2024-09-16 14:42:09,1
2024-09-16 15:12:03,1
2024-09-16 15:15:55,1
2024-09-16 15:43:57,1
2024-09-16 16:01:22,1
2024-09-16 16:13:00,1
2024-09-16 16:46:02,1
2024-09-16 17:14:15,1
2024-09-16 17:15:14,1
2024-09-16 17:28:47,1
2024-09-16 18:11:48,1
2024-09-16 18:14:24,1
2024-09-16 18:27:21,1
2024-09-16 19:13:00,2
2024-09-16 19:46:13,3
2024-09-16 20:14:15,1
2024-09-16 20:58:51,1
2024-09-16 20:59:30,1
2024-09-16 21:12:02,1
2024-09-16 21:13:30,1
2024-09-16 22:12:50,1
2024-09-16 22:16:18,1
2024-09-16 22:43:16,1
2024-09-16 23:14:54,1
